Event;Date.Time;Date.Time.2;Latitude;Longitude;Latitude.2;Longitude.2;depth;Anoplogaster_cornuta;Arctozenus_risso;Argyropelecus_hemigymnus;Argyropelecus_olfersii;Astronesthes_niger;Avocettina_infans;Barbantus_curvifrons;Bathylagichthys_greyae;Bathylagus;Bathylagus_euryops;Benthosema_glaciale;Beryx_splendens;Bolinichthys_indicus;Bolinichthys_supralateralis;Borostomias_antarcticus;Ceratoscopelus_maderensis;Chauliodus_sloani;Cyclothone;Derichthys;Derichthys_serpentinus;Diaphus;Diaphus_dumerilii;Diaphus_metopoclampus;Diaphus_mollis;Dolicholagus_longirostris;Dolichopteryx_longipes;Electrona_risso;Entelurus_aequoreus;Eurypharynx_pelecanoides;Evermannella_balbo;Gadiculus_argenteus;Gonostoma_elongatum;Holtbyrnia_anomala;Holtbyrnia_macrops;Howella_atlantica;Lampadena_atlantica;Lampadena_speculigera;Lampanyctus;Lampanyctus_crocodilus;Lampanyctus_festivus;Lampanyctus_macdonaldi;Leptostomias_gladiator;Lestidiops_affinis;Lestidiops_sphyrenoides;Lobianchia_gemellarii;Lyconus_brachycolus;Macroparalepis_affinis;Magnisudis_atlantica;Malacosteus_niger;Maulisia_argipalla;Maulisia_mauli;Maulisia_microlepis;Maurolicus_muelleri;Melanolagus_bericoides;Melanonus_zugmayeri;Melanostigma_atlanticum;Melanostomias_bartonbeani;Mentodus_rostratus;Myctophidae;Myctophum_punctatum;Nannobrachium;Nannobrachium_atrum;Nansenia;Nansenia_oblita;Neonesthes_capensis;Nessorhamphus_ingolfianus;Normichthys_operosus;Notoscopelus_kroyeri;Oneirodes_anisacanthus;Oneirodes_carlsbergi;Parabrotulidae;Paralepis_coregonoides;Photostomias_guernei;Photostylus_pycnopterus;Platytroctidae;Polymetme_thaeocoryla;Poromitra_megalops;Pseudoscopelus_altipinnis;Pseudoscopelus_astronesthidens;Pseudoscopelus_pierbartus;Rhadinesthes_decimus;Rondeletia_loricata;Rouleina_attrita;Sagamichthys_schnakenbecki;Scopelengys_tristis;Scopelogadus_beanii;Searsia_koefoedi;Serrivomer_beanii;Sigmops_bathyphilus;Sternoptyx_diaphana;Stomias_boa;Taaningichthys_bathyphilus;Xenodermichthys_copei
M0855;2008-10-22T17:47:00;2008-10-22T18:47:00;44,3308;-2,2544;44,3256;-2,3441;500;0;190;1;203;0;0;0;0;0;0;1;0;0;0;0;11;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;167;0;755
M0862;2008-10-23T18:02:00;2008-10-23T19:02:00;43,7731;-2,2049;43,7345;-2,2766;200;0;28;1;39;0;0;0;0;0;0;17;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;316
M0876;2008-10-25T19:06:00;2008-10-25T20:00:00;44,8091;-2,7974;44,777;-2,681;20;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;641;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0
M0881;2008-10-26T18:05:00;2008-10-26T19:05:00;45,0184;-2,6865;44,9596;-2,6625;500;0;311;0;332;0;0;0;0;0;0;1;0;0;0;0;202;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;27;0;0;0;0;795;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;123;0;0;0;0;0;0;0;721;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;326;0;944
M0887;2008-10-27T18:17:00;2008-10-27T19:17:00;45,546;-3,8802;45,5985;-3,8554;1500;0;1;1;17;0;0;0;0;0;0;11;0;0;0;0;12;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;12;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;64;0;24
M0892;2008-10-28T17:35:00;2008-10-28T18:36:00;45,2996;-3,2935;45,263;-3,3724;500;0;221;1;5;0;0;0;0;0;0;1;0;0;0;0;6;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;186;0;0;0;0;0;0;0;94;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;187;0;133
O0959;2010-10-21T17:34:00;2010-10-21T18:34:00;45,1609;-3,3646;45,1557;-3,4558;300;0;15;2;2;0;0;0;0;0;0;10;0;2;0;0;218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;12;0;2;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;47
O0964;2010-10-22T16:50:00;2010-10-22T17:49:00;45,0694;-3,1565;45,0104;-3,1755;800;0;188;3;148;0;0;0;0;0;0;100;0;0;0;0;309;0;45;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;758;0;0;0;0;0;18;0;2;0;0;0;0;0;6;0;0;1;0;0;25;64;0;0;0;0;0;0;0;90;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;50;118;0;0;278;0;184
O0969;2010-10-23T16:36:00;2010-10-23T17:36:00;43,6949;-2,459;43,7174;-2,5438;150;0;1;2;4;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0
O0978;2010-10-25T16:53:00;2010-10-25T17:53:00;44,804;-2,6999;44,8296;-2,7579;1600;0;32;5;94;0;0;0;0;0;804;612;0;0;0;72;82;0;66;0;18;0;0;0;0;0;0;0;0;0;0;0;0;183;0;0;0;1;0;479;0;138;0;0;0;8;0;0;0;61;0;25;127;4;0;0;1;0;0;0;79;0;71;1;0;0;0;900;36;0;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;1;0;0;926;20;0;379;1;50
