Code_Station;Aphanopus carbo;Anoplogaster cornuta;Arctozenus risso;Argyropelecus hemigymnus;Argyropelecus olfersii;Astronesthes niger;Avocettina infans;Barbantus curvifrons;Bathylagichthys greyae;Bathylagus euryops;Bathylagus;Benthosema glaciale;Beryx splendens;Bolinichthys indicus;Bolinichthys supralateralis;Borostomias antarcticus;Ceratoscopelus maderensis;Chauliodus sloani;Cyclothone;Derichthys;Derichthys serpentinus;Diaphus;Diaphus dumerilii;Diaphus metopoclampus;Diaphus mollis;Dolicholagus longirostris;Dolichopteryx longipes;Electrona risso;Entelurus aequoreus;Eurypharynx pelecanoides;Evermannella balbo;Gadiculus argenteus;Gonostoma elongatum;Holtbyrnia anomala;Holtbyrnia macrops;Howella atlantica;Lampadena atlantica;Lampadena speculigera;Lampadena urophaos;Lampanyctus;Lampanyctus crocodilus;Lampanyctus festivus;Lampanyctus macdonaldi;Leptostomias gladiator;Lestidiops affinis;Lestidiops sphyrenoides;Lobianchia gemellarii;Lyconus brachycolus;Macroparalepis affinis;Magnisudis atlantica;Malacosteus niger;Maulisia argipalla;Maulisia mauli;Maulisia microlepis;Maurolicus muelleri;Melanolagus bericoides;Melanonus zugmayeri;Melanostigma atlanticum;Melanostomias bartonbeani;Mentodus rostratus;Myctophidae;Myctophum punctatum;Nannobrachium;Nannobrachium atrum;Nansenia;Nansenia oblita;Neonesthes capensis;Nessorhamphus ingolfianus;Normichthys operosus;Notoscopelus kroyeri;Oneirodes anisacanthus;Oneirodes carlsbergi;Parabrotulidae;Paralepis coregonoides;Photostomias guernei;Photostylus pycnopterus;Platytroctidae;Polymetme thaeocoryla;Poromitra megalops;Pseudoscopelus astronesthidens;Pseudoscopelus altipinnis;Pseudoscopelus pierbartus;Rhadinesthes decimus;Rondeletia loricata;Rouleina attrita;Sagamichthys schnakenbecki;Scopelengys tristis;Scopelogadus beanii;Searsia koefoedi;Serrivomer beanii;Sigmops bathyphilus;Sternoptyx diaphana;Stomias boa boa;Taaningichthys bathyphilus;Xenodermichthys copei
U0508;0;0;12;1;1;0;0;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;120;0;0;0;0;0;0;7;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;94
U0514;0;0;25;2;2;0;0;0;0;0;0;72;0;0;0;0;3;0;367;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;3;0;0;0;0;0;0;0;2668;0;0;6;0;0;0;9;0;4;0;0;0;1;0;172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;4;0;0;6;0;72
U0519;0;0;72;2;11;0;0;0;0;0;0;91;0;0;0;0;12;0;138;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;1;0;10;0;0;4;1;0;0;31;0;11;0;0;0;0;0;32;0;0;0;0;0;0;7;0;0;0;0;1;0;0;0;0;0;0;2;4;0;0;5;1;44
U0524;1;0;61;0;3;0;0;0;0;0;0;93;0;0;0;0;5;0;58;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0;0;0;170;0;0;7;0;0;0;19;0;1;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;6;0;61
U0530;0;0;61;2;1;0;0;0;0;0;0;364;0;0;8;0;1;0;302;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;117;0;0;0;0;0;0;0;0;0;0;0;0;0;272;0;0;51;0;0;0;16;0;3;0;0;0;0;0;8;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;1;0;0;10;3;0;0;7;0;90
U0536;0;0;71;1;4;0;0;0;0;0;0;31;0;0;0;0;7;0;119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;2;0;0;0;0;0;0;0;0;77;0;0;0;0;0;0;14;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;101
U0541;3;0;53;3;9;0;0;0;0;0;0;67;0;0;0;1;3;0;451;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;0;0;0;0;0;0;0;0;0;0;0;0;0;3898;0;0;20;1;0;0;75;0;3;0;0;0;0;0;22;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;1;0;0;5;0;0;0;10;0;48
V0494;3;0;14;1;10;0;0;0;0;0;0;3;0;0;1;1;7;3;22;1;1;0;0;0;0;1;0;0;0;0;4;0;1;0;8;0;2;0;0;0;94;0;0;0;0;0;5;0;0;0;0;5;0;0;1;0;0;1;1;0;0;18;0;13;2;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;8;15;0;0;6;0;54
W0534;4;0;32;0;13;0;0;0;0;0;0;18;0;0;0;0;7;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;0;0;0;0;15;0;0;0;0;0;0;5;0;8;0;0;5;0;0;0;16;0;0;0;0;0;0;0;21;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;1;0;0;4;0;58
W0545;3;0;25;0;8;0;0;0;0;0;0;6;1;0;0;1;12;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;7;0;0;0;20;0;3;0;0;0;0;0;3;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;45
